"","id_column","Source","Site","Transect","DM_latitude","DM_longitude","Qualitative Location","Date","Habitat","Position on Reef","DD_longitude","DD_latitude"
"1",1,"Amesbury et al. (1999)","Agat",1,"13° 22.91'N"," 144° 38.90'E","south, outer",1998-10-28,"outer reef flat","reef flat",144.648330688477,13.3818330764771
"2",2,"Amesbury et al. (1999)","Agat",2,"13° 22.81'N"," 144° 38.82'E","south, outer",1998-10-28,"outer reef flat","reef flat",144.647003173828,13.3801670074463
"3",3,"Amesbury et al. (1999)","Agat",3,"13° 23.73'N"," 144°  39.40'E","north, 30'",1998-11-04,"reef slope 30'","reef slope",144.656661987305,13.3955001831055
"4",4,"Amesbury et al. (1999)","Agat",4,"13° 23.34'N"," 144° 39.10'E","central, 30'",1998-11-04,"reef slope 30'","reef slope",144.651672363281,13.3889999389648
"5",5,"Amesbury et al. (1999)","Agat",5,"13° 24.07'N"," 144° 39.68'E","north, outer",1998-11-11,"outer reef flat","reef flat",144.661331176758,13.4011669158936
"6",6,"Amesbury et al. (1999)","Agat",6,"13° 22.97'N"," 144° 39.21'E","south, inner",1998-11-11,"inner reef flat","reef flat",144.653503417969,13.382833480835
"7",7,"Amesbury et al. (1999)","Agat",7,"13° 22.90'N"," 144° 39.15'E","south, inner",1998-11-11,"inner reef flat","reef flat",144.652496337891,13.381667137146
"8",8,"Amesbury et al. (1999)","Agat",8,"13° 22.98'N"," 144° 38.69'E","south, 50'",1998-12-18,"reef slope 50'","reef slope",144.644836425781,13.3830003738403
"9",9,"Amesbury et al. (1999)","Agat",9,"13° 22.51'N"," 144° 38.59'E","south, 30'",1998-12-18,"reef slope 30'","reef slope",144.643173217773,13.3751668930054
"10",10,"Amesbury et al. (1999)","Agat",10,"13° 22.85'N"," 144° 38.71'E","south, 50'",1999-02-25,"reef slope 50'","reef slope",144.645172119141,13.3808336257935
"11",11,"Amesbury et al. (1999)","Agat",11,"13° 22.55'N"," 144° 38.69'E","south, 30'",1999-02-25,"reef slope 30'","reef slope",144.644836425781,13.3758335113525
"12",12,"Amesbury et al. (1999)","Agat",12,"13° 23.54'N"," 144° 39.13'E","central, 50'",1999-03-04,"reef slope 50'","reef slope",144.652160644531,13.3923330307007
"13",13,"Amesbury et al. (1999)","Agat",13,"13° 23.42'N"," 144° 39.11'E","central, 30'",1999-03-04,"reef slope 30'","reef slope",144.651840209961,13.3903331756592
"14",14,"Amesbury et al. (1999)","Agat",14,"13° 24.17'N"," 144° 39.17'E","north, 50'",1999-03-25,"reef slope 50'","reef slope",144.65283203125,13.4028329849243
"15",15,"Amesbury et al. (1999)","Agat",15,"13° 24.17'N"," 144° 39.46'E","north, 30'",1999-03-25,"reef slope 30'","reef slope",144.657669067383,13.4028329849243
"16",16,"Amesbury et al. (1999)","Agat",16,"13° 23.31'N"," 144° 39.40'E","center, outer",1999-03-29,"outer reef flat","reef flat",144.656661987305,13.388500213623
"17",17,"Amesbury et al. (1999)","Agat",17,"13° 23.42'N"," 144° 39.47'E","center, outer",1999-03-29,"outer reef flat","reef flat",144.657836914062,13.3903331756592
"18",18,"Amesbury et al. (1999)","Agat",18,"13° 23.12'N"," 144° 39.32'E","center, inner",1999-03-29,"inner reef flat","reef flat",144.655334472656,13.3853330612183
"19",19,"Amesbury et al. (1999)","Agat",19,"13° 23.27'N"," 144° 39.36'E","center, inner",1999-03-29,"inner reef flat","reef flat",144.656005859375,13.3878335952759
"20",20,"Amesbury et al. (1999)","Agat",20,"13° 23.38'N"," 144° 39.02'E","central, 50'",1999-04-01,"reef slope 50'","reef slope",144.650329589844,13.389666557312
"21",21,"Amesbury et al. (1999)","Agat",21,"13° 23.97'N"," 144° 39.20'E","north, 50'",1999-04-01,"reef slope 50'","reef slope",144.653335571289,13.3994998931885
"22",22,"Amesbury et al. (1999)","Agat",22,"13° 24.13'N"," 144° 39.73'E","north, inner",1999-04-15,"inner reef flat","reef flat",144.662170410156,13.4021663665771
"23",23,"Amesbury et al. (1999)","Agat",23,"13° 23.71'N"," 144° 39.62'E","north, outer",1999-04-15,"outer reef flat","reef flat",144.660339355469,13.3951663970947
"24",24,"Amesbury et al. (1999)","Agat",24,"13° 23.70'N"," 144° 39.64'E","north, inner",1999-04-15,"inner reef flat","reef flat",144.660659790039,13.3950004577637
"25",25,"Amesbury et al. (1999)","Asan",1,"144° 43.63'E",NA,"50', east",1998-11-18,"reef slope 50'","reef slope",NA,NA
"26",26,"Amesbury et al. (1999)","Asan",2,"144° 43.67'E",NA,"30', east",1998-11-18,"reef slope 30'","reef slope",NA,NA
"27",27,"Amesbury et al. (1999)","Asan",3,"13° 28.48'N"," 144° 43.12'E","east, inner",1998-12-11,"inner reef flat","reef flat",144.718673706055,13.474666595459
"28",28,"Amesbury et al. (1999)","Asan",4,"13° 28.57'N"," 144° 43.18'E","east, outer",1998-12-11,"outer reef flat","reef flat",144.719665527344,13.4761667251587
"29",29,"Amesbury et al. (1999)","Asan",5,"13° 28.46'N"," 144° 43.01'E","east, outer",1998-12-11,"outer reef flat","reef flat",144.716827392578,13.4743337631226
"30",30,"Amesbury et al. (1999)","Asan",6,"13° 28.52'N"," 144° 42.41'E","west, inner",1998-12-17,"inner reef flat","reef flat",144.706832885742,13.4753332138062
"31",31,"Amesbury et al. (1999)","Asan",7,"13° 28.57'N"," 144° 42.33'E","west, outer",1998-12-17,"outer reef flat","reef flat",144.705505371094,13.4761667251587
"32",32,"Amesbury et al. (1999)","Asan",8,"13° 28.52'N"," 144° 42.55'E","west, inner",1998-12-17,"inner reef flat","reef flat",144.709167480469,13.4753332138062
"33",33,"Amesbury et al. (1999)","Asan",9,"144° 43.60'E",NA,"50', east",1999-02-04,"reef slope 50'","reef slope",NA,NA
"34",34,"Amesbury et al. (1999)","Asan",10,"144° 43.24'E",NA,"30' east",1999-02-04,"reef slope 30'","reef slope",NA,NA
"35",35,"Amesbury et al. (1999)","Asan",11,"13° 28.76'N"," 144° 42.51'E","west",1999-02-18,"reef slope 50'","reef slope",144.70849609375,13.4793329238892
"36",36,"Amesbury et al. (1999)","Asan",12,"13° 28.67'N"," 144° 42.70'E","west",1999-02-18,"reef slope 30'","reef slope",144.711669921875,13.4778337478638
"37",37,"Amesbury et al. (1999)","Asan",13,"13° 28.81'N"," 144° 42.45'E","west",1999-03-11,"reef slope 50'","reef slope",144.707504272461,13.4801664352417
"38",38,"Amesbury et al. (1999)","Asan",14,"13° 28.82'N"," 144° 42.36'E","west",1999-03-11,"reef slope 30'","reef slope",144.705993652344,13.4803333282471
"39",39,"Amesbury et al. (1999)","Asan",15,"13° 28.48'N"," 144° 42.71'E","west, outer",1999-04-22,"outer reef flat","reef flat",144.711837768555,13.474666595459
"40",40,"Amesbury et al. (1999)","Asan",16,"13° 28.65'N"," 144° 43.42'E","east, inner",1999-04-22,"inner reef flat","reef flat",144.723663330078,13.477499961853
